Date/Time,NO3-Neq [mg/l]87.50-0.00_1,Date/Time,NO3-Neq [mg/l]87.50-0.00_1,Date/Time,NO3-Neq [mg/l]87.50-0.00_1,Date/Time,NO3-Neq [mg/l]87.50-0.00_1,Source
,,,,,,2015.07.06  16:26:00,2.434,High
,,,,,,2015.07.06  16:28:20,0.836,Low
,,,,,,2015.07.06  16:30:40,2.485,High
,,,,,,2015.07.06  16:33:00,0.864,Low
,,,,,,2015.07.06  16:35:20,2.442,High
,,,,,,2015.07.06  16:37:40,0.84,Low
,,,,,,2015.07.06  16:40:00,2.468,High
,,,,,,2015.07.06  16:42:20,0.863,Low
,,,,,,2015.07.06  16:44:40,2.464,High
,,,,,,2015.07.06  16:47:00,0.815,Low
,,,,,,2015.07.06  16:49:20,2.433,High
,,,,,,2015.07.06  16:51:40,0.854,Low
,,,,,,2015.07.06  16:54:00,2.472,High
,,,,,,2015.07.06  16:56:20,0.858,Low
,,,,,,2015.07.06  16:58:40,2.493,High
,,,,,,2015.07.06  17:01:00,0.851,Low
,,,,,,2015.07.06  17:03:20,2.481,High
,,,,,,2015.07.06  17:05:40,0.783,Low
,,,,,,2015.07.06  17:08:00,2.504,High
