,Date.Time,Mesocosm,NO3,Run,Depth
267,3/19/15 12:11,9,1.229029334,1,13.6
268,3/19/15 12:17,8,3.335269262,1,45
270,3/19/15 12:30,12,3.080015441,1,16.6
271,3/19/15 12:36,11,3.966266278,1,34.2
272,3/19/15 12:42,10,3.016969911,1,30.4
273,3/19/15 12:48,9,1.205437219,1,13.6
274,3/19/15 12:54,8,3.321403586,1,45
276,3/19/15 13:06,12,3.053509954,1,16.6
277,3/19/15 13:12,11,3.959561796,1,34.2
278,3/19/15 13:18,10,3.018250342,1,30.4
279,3/19/15 13:24,9,1.196092416,1,13.6
280,3/19/15 13:30,8,3.317302034,1,45
282,3/19/15 13:42,12,3.00540531,1,16.6
283,3/19/15 13:48,11,3.961953795,1,34.2
284,3/19/15 13:54,10,2.987778879,1,30.4
285,3/19/15 14:00,9,1.167709099,1,13.6
286,3/19/15 14:06,8,3.313361573,1,45
288,3/19/15 14:18,12,2.960425289,1,16.6
289,3/19/15 14:24,11,3.938098097,1,34.2
290,3/19/15 14:30,10,3.009178003,1,30.4
291,3/19/15 14:36,9,1.137081516,1,13.6
292,3/19/15 14:42,8,3.308235725,1,45
294,3/19/15 14:54,12,2.93313204,1,16.6
295,3/19/15 15:00,11,3.950579289,1,34.2
296,3/19/15 15:06,10,2.961354901,1,30.4
297,3/19/15 15:12,9,1.117895183,1,13.6
298,3/19/15 15:18,8,3.309109634,1,45
300,3/19/15 15:30,12,2.870296489,1,16.6
301,3/19/15 15:36,11,3.922072434,1,34.2
302,3/19/15 15:42,10,2.95665866,1,30.4
303,3/19/15 15:48,9,1.078756598,1,13.6
304,3/19/15 15:54,8,3.311053347,1,45
306,3/19/15 16:06,12,2.819890859,1,16.6
307,3/19/15 16:12,11,3.886311499,1,34.2
308,3/19/15 16:18,10,2.946953153,1,30.4
309,3/19/15 16:24,9,1.049486281,1,13.6
310,3/19/15 16:30,8,3.292361851,1,45
312,3/19/15 16:42,12,2.790706944,1,16.6
313,3/19/15 16:48,11,3.916440977,1,34.2
314,3/19/15 16:54,10,2.938721046,1,30.4
315,3/19/15 17:00,9,0.98789717,1,13.6
316,3/19/15 17:06,8,3.289730431,1,45
318,3/19/15 17:18,12,2.714742811,1,16.6
319,3/19/15 17:24,11,3.901680547,1,34.2
320,3/19/15 17:30,10,2.918153013,1,30.4
321,3/19/15 17:36,9,0.96655769,1,13.6
322,3/19/15 17:42,8,3.273940638,1,45
324,3/19/15 17:54,12,2.664716455,1,16.6
325,3/19/15 18:00,11,3.863800779,1,34.2
326,3/19/15 18:06,10,2.903175744,1,30.4
327,3/19/15 18:12,9,0.929268152,1,13.6
328,3/19/15 18:18,8,3.263756836,1,45
330,3/19/15 18:30,12,2.619134392,1,16.6
331,3/19/15 18:36,11,3.863776179,1,34.2
332,3/19/15 18:42,10,2.894162876,1,30.4
333,3/19/15 18:48,9,0.890999443,1,13.6
334,3/19/15 18:54,8,3.264357096,1,45
336,3/19/15 19:06,12,2.545599415,1,16.6
337,3/19/15 19:12,11,3.850899237,1,34.2
338,3/19/15 19:18,10,2.909018396,1,30.4
339,3/19/15 19:24,9,0.891371014,1,13.6
340,3/19/15 19:30,8,3.216818195,1,45
342,3/19/15 19:42,12,2.497901074,1,16.6
343,3/19/15 19:48,11,3.823934589,1,34.2
344,3/19/15 19:54,10,2.885293567,1,30.4
345,3/19/15 20:00,9,0.827766636,1,13.6
346,3/19/15 20:06,8,3.2440877,1,45
348,3/19/15 20:18,12,2.445734218,1,16.6
349,3/19/15 20:24,11,3.823964096,1,34.2
350,3/19/15 20:30,10,2.847818667,1,30.4
351,3/19/15 20:36,9,0.795278419,1,13.6
352,3/19/15 20:42,8,3.23066835,1,45
354,3/19/15 20:54,12,2.405721217,1,16.6
355,3/19/15 21:00,11,3.822625078,1,34.2
356,3/19/15 21:06,10,2.848904184,1,30.4
357,3/19/15 21:12,9,0.723835671,1,13.6
358,3/19/15 21:18,8,3.189972186,1,45
360,3/19/15 21:30,12,2.333085222,1,16.6
361,3/19/15 21:36,11,3.795026278,1,34.2
362,3/19/15 21:42,10,2.853569476,1,30.4
363,3/19/15 21:48,9,0.738487638,1,13.6
364,3/19/15 21:54,8,3.213841934,1,45
366,3/19/15 22:06,12,2.300937535,1,16.6
367,3/19/15 22:12,11,3.799580303,1,34.2
368,3/19/15 22:18,10,2.848135605,1,30.4
369,3/19/15 22:24,9,0.718205487,1,13.6
370,3/19/15 22:30,8,3.22030642,1,45
